station,distance,elevation
5+200,150,-0.804761589
5+200,175,-0.956950486
5+200,200,-1.705888391
5+200,225,-1.722164869
5+200,250,-1.959067345
5+200,275,-2.20694828
5+200,300,-2.453500271
5+200,325,-2.690402746
5+200,350,-2.936954498
5+200,375,-3.183506489
5+200,400,-3.420408964
5+300,0,1.859136
5+300,25,1.7591362
5+300,50,2.05706811
5+300,75,-0.114036933
5+300,100,-0.615749061
5+300,125,-0.907648325
5+300,150,-0.854617119
5+300,175,-1.173514843
5+300,200,-1.783924222
5+300,225,-1.909577608
5+300,250,-1.936183333
5+300,275,-2.178401947
5+300,300,-2.420620441
5+300,325,-2.653189659
5+300,350,-2.896737337
5+300,375,-3.138955832
5+300,400,-3.371525049
5+400,0,1.686074
5+400,25,1.768624187
5+400,50,2.047905684
5+400,75,-1.029643297
5+400,100,-0.916916251
5+400,125,-0.819133639
5+400,150,-1.501065016
5+400,175,-1.440823078
5+400,200,-1.705415845
5+400,225,-2.124235868
5+400,250,-2.174892902
5+400,275,-2.370463371
5+400,300,-2.597370386
5+400,325,-2.825606108
5+400,350,-3.053842068
5+400,375,-3.282077789
5+400,400,-3.510313749
5+500,0,1.807675
5+500,25,1.70767498
5+500,50,1.55637598
5+500,75,-0.920872033
5+500,100,-0.707058489
5+500,125,-1.055088282
5+500,150,-1.644089103
5+500,175,-1.579706311
5+500,200,-1.797693968
5+500,225,-2.025839329
5+500,250,-2.354554892
5+500,275,-2.449389935
5+500,300,-2.653993607
5+500,325,-2.858597279
5+500,350,-3.071521282
5+500,375,-3.276125193
5+500,400,-3.480728865
5+600,0,2.02044
5+600,25,2.120439768
5+600,50,0.181100041
5+600,75,-0.577875018
5+600,100,-1.174320459
5+600,125,-1.692833066
5+600,150,-1.690726876
5+600,175,-1.834230185
5+600,200,-2.075500011
5+600,225,-2.271757841
5+600,250,-2.567158699
5+600,275,-2.637408495
5+600,300,-2.817050934
5+600,325,-2.998022556
5+600,350,-3.177665234
5+600,375,-3.347658157
5+600,400,-3.52862978
5+700,0,1.467671
5+700,25,1.367671371
5+700,50,-0.755103767
5+700,75,-1.129788995
5+700,100,-0.947722971
5+700,125,-1.741238713
5+700,150,-2.209362268
5+700,175,-2.400789261
5+700,200,-2.581809282
5+700,225,-2.773236513
5+700,250,-2.95749402
5+700,275,-3.092587233
5+700,300,-3.213855743
5+700,325,-3.328413486
5+700,350,-3.449681997
5+700,375,-3.56747508
5+700,400,-3.685268164
5+800,0,2.336447
5+800,25,2.436447144
5+800,50,1.373658776
5+800,75,-1.196953773
5+800,100,-1.29622376
5+800,125,-1.230089545
5+800,150,-1.875625491
5+800,175,-2.337239265
5+800,200,-2.603663921
5+800,225,-2.811715126
5+800,250,-2.943592787
5+800,275,-3.084181309
5+800,300,-3.217174292
5+800,325,-3.345416546
5+800,350,-3.463449717
5+800,375,-3.581722736
5+800,400,-3.699755907
5+900,0,2.339509
5+900,25,2.439509392
5+900,50,2.561574697
5+900,75,-0.39058286
5+900,100,-0.885327816
5+900,125,-1.201062918
5+900,150,-1.835222244
5+900,175,-2.496977091
5+900,200,-2.695942879
5+900,225,-2.830225706
5+900,250,-2.967661381
5+900,275,-3.101944208
5+900,300,-3.236227274
